id,model,category,keep
028DLV,,,FALSE
0XE5000,,,FALSE
1A,,,FALSE
1E0,,,FALSE
1FADT10S,DTS10,ag,TRUE
1FAR120A,,,FALSE
1FAST12S,STS12,ag,TRUE
1FAST14S,STS14,ag,TRUE
1FAST16S,STS16,ag,TRUE
1FF017G,17G,cce,TRUE
1FF026G,26G,cce,TRUE
1FF030G,30G,cce,TRUE
1FF035G,35G,cce,TRUE
1FF050G,50G,cce,TRUE
1FF060G,60G,cce,TRUE
1GX335E,Z335E,turf,TRUE
1GX335M,Z335M,turf,TRUE
1GX345M,Z345M,turf,TRUE
1GX345R,Z345R,turf,TRUE
1GX355E,Z355E,turf,TRUE
1GX355R,Z355R,turf,TRUE
1GX365R,Z365R,turf,TRUE
1GX375R,Z375R,turf,TRUE
1GX515E,Z515E,turf,TRUE
1GX525E,Z525E,turf,TRUE
1GX530M,Z530M,turf,TRUE
1GX530R,Z530R,turf,TRUE
1GX535M,Z535M,turf,TRUE
1GX535R,Z535R,turf,TRUE
1GX540M,Z540M,turf,TRUE
1GX540R,Z540R,turf,TRUE
1GX545R,Z545R,turf,TRUE
1GXD105,D105,turf,TRUE
1GXD110,D110,turf,TRUE
1GXD125,D125,turf,TRUE
1GXD130,D130,turf,TRUE
1GXD140,D140,turf,TRUE
1GXD155,D155,turf,TRUE
1GXD160,D160,turf,TRUE
1GXD170,D170,turf,TRUE
1GXE100,E100,turf,TRUE
1GXE110,E110,turf,TRUE
1GXE120,E120,turf,TRUE
1GXE130,E130,turf,TRUE
1GXE140,E140,turf,TRUE
1GXE150,E150,turf,TRUE
1GXE160,E160,turf,TRUE
1GXE170,E170,turf,TRUE
1GXE180,E180,turf,TRUE
1GXS100,S100,turf,TRUE
1GXS120,S120,turf,TRUE
1GXS240,S240,turf,TRUE
1GXZ255,Z255,turf,TRUE
1GXZ335,Z335,turf,TRUE
1GXZ345,Z345,turf,TRUE
1GXZ355,Z355,turf,TRUE
1GXZ375,Z375,turf,TRUE
1GXZ425,Z425,turf,TRUE
1GXZ435,Z435,turf,TRUE
1GXZ445,Z445,turf,TRUE
1GXZ465,Z465,turf,TRUE
1GXZ525,Z525,turf,TRUE
1GXZ535,Z535,turf,TRUE
1GXZ540,Z540,turf,TRUE
1GXZ625,Z625,turf,TRUE
1GXZ645,Z645,turf,TRUE
1GXZ655,Z655,turf,TRUE
1GXZ665,Z665,turf,TRUE
1H00,,,FALSE
1H0630F,,,FALSE
1H0635F,,,FALSE
1H0640F,,,FALSE
1H0645F,,,FALSE
1H0735F,,,FALSE
1H0740F,,,FALSE
1H0745F,,,FALSE
1H0C12F,,,FALSE
1H0C12R,,,FALSE
1H0C16F,,,FALSE
1H0C16R,,,FALSE
1H0RD35F,,,FALSE
1H0RD40F,,,FALSE
1H0RD45F,,,FALSE
1H0S660,S660,ag,TRUE
1H0S670,S670,ag,TRUE
1H0S680,S680,ag,TRUE
1H0S690,S690,ag,TRUE
1H0S760,S760,ag,TRUE
1H0S770,S770,ag,TRUE
1H0S780,S780,ag,TRUE
1H0S790,S790,ag,TRUE
1JL2720,,,FALSE
1JLDB,,,FALSE
1KM0649,,,FALSE
1KM0659,,,FALSE
1KM0676,,,FALSE
1KM0770G,,,FALSE
1KM0778G,,,FALSE
1KM608F,,,FALSE
1KM640C,,,FALSE
1L06105M,6105M,ag,TRUE
1L06110M,6110M,ag,TRUE
1L06110R,6110R,ag,TRUE
1L06115M,6115M,ag,TRUE
1L06120M,6120M,ag,TRUE
1L06120R,6120R,ag,TRUE
1L06125M,6125M,ag,TRUE
1L06130M,6130M,ag,TRUE
1L06130R,6130R,ag,TRUE
1L06145M,6145M,ag,TRUE
1L06155M,6155M,ag,TRUE
1L06175M,6175M,ag,TRUE
1L06175R,6175R,ag,TRUE
1LU204K,204K,cce,TRUE
1LU204L,204L,cce,TRUE
1LU244K,224K,cce,TRUE
1LU324L,324L,cce,TRUE
1LU344L,344L,cce,TRUE
1LV0,,,FALSE
1LV1023E,1023E,turf,TRUE
1LV1025R,1025R,turf,TRUE
1LV2025R,2025R,turf,TRUE
1LV2032R,2032R,turf,TRUE
1LV2038R,2038R,turf,TRUE
1LV3025E,3025E,turf,TRUE
1LV3032E,3032E,turf,TRUE
